r[m],sigma_0.05,sigma_0.1,sigma_0.15,sigma_0.2,sigma_0.25
0.33099999999999985,0.42681299999999994,0.7668129999999997,1.066813,1.170325000000001,1.170325000000001
0.32999999999999985,0.42703333333333326,0.7670333333333332,1.0670333333333335,1.1758333333333344,1.1758333333333344
0.32899999999999985,0.4272529999999999,0.7672529999999999,1.067253,1.1813250000000008,1.1813250000000008
0.32799999999999985,0.4274719999999999,0.7674719999999998,1.067472,1.186800000000001,1.186800000000001
0.32699999999999985,0.4276903333333333,0.7676903333333331,1.0676903333333332,1.1922583333333343,1.1922583333333343
0.32599999999999985,0.4279079999999999,0.7679079999999998,1.067908,1.1977000000000009,1.1977000000000009
0.32499999999999984,0.4281249999999999,0.7681249999999998,1.068125,1.2031250000000009,1.2031250000000009
0.32399999999999984,0.42834133333333324,0.7683413333333332,1.0683413333333334,1.2085333333333341,1.2085333333333341
0.32299999999999984,0.4285569999999999,0.7685569999999998,1.068557,1.213925000000001,1.213925000000001
0.32199999999999984,0.4287719999999999,0.7687719999999998,1.068772,1.219300000000001,1.219300000000001
0.32099999999999984,0.42898633333333325,0.7689863333333331,1.0689863333333331,1.2246583333333343,1.2246583333333343
0.31999999999999984,0.4291999999999999,0.7691999999999998,1.0692,1.230000000000001,1.230000000000001
0.31899999999999984,0.4294129999999999,0.7694129999999998,1.0694130000000002,1.2353250000000011,1.2353250000000011
0.31799999999999984,0.42962533333333325,0.7696253333333332,1.0696253333333334,1.2406333333333344,1.2406333333333344
0.31699999999999984,0.4298369999999999,0.7698369999999998,1.069837,1.245925000000001,1.245925000000001
0.31599999999999984,0.43004799999999993,0.7700479999999997,1.070048,1.251200000000001,1.251200000000001
0.31499999999999984,0.43025833333333324,0.7702583333333332,1.0702583333333333,1.2564583333333343,1.2564583333333343
0.31399999999999983,0.4304679999999999,0.7704679999999998,1.070468,1.261700000000001,1.261700000000001
0.31299999999999983,0.4306769999999999,0.7706769999999997,1.070677,1.266925000000001,1.266925000000001
0.31199999999999983,0.4308853333333333,0.7708853333333331,1.0708853333333332,1.2721333333333344,1.2721333333333344
0.31099999999999983,0.4310929999999999,0.7710929999999998,1.071093,1.277325000000001,1.277325000000001
0.30999999999999983,0.43129999999999996,0.7712999999999999,1.0713000000000001,1.2825000000000009,1.2825000000000009
0.30899999999999983,0.4315063333333332,0.7715063333333331,1.0715063333333332,1.2876583333333342,1.2876583333333342
0.30799999999999983,0.43171199999999993,0.7717119999999997,1.0717120000000002,1.292800000000001,1.292800000000001
0.30699999999999983,0.4319169999999999,0.7719169999999999,1.071917,1.297925000000001,1.297925000000001
0.3059999999999998,0.43212133333333325,0.7721213333333331,1.0721213333333333,1.3030333333333344,1.3030333333333344
0.3049999999999998,0.4323249999999999,0.7723249999999998,1.072325,1.3081250000000009,1.3081250000000009
0.3039999999999998,0.4325279999999999,0.7725279999999998,1.072528,1.313200000000001,1.313200000000001
0.3029999999999998,0.4327303333333332,0.7727303333333332,1.0727303333333333,1.3182583333333344,1.3182583333333344
0.3019999999999998,0.43293199999999993,0.7729319999999997,1.0729320000000002,1.323300000000001,1.323300000000001
0.3009999999999998,0.43313299999999993,0.7731329999999998,1.073133,1.328325000000001,1.328325000000001
0.2999999999999998,0.4333333333333333,0.7733333333333332,1.0733333333333335,1.3333333333333333,1.3333333333333341
0.2989999999999998,0.4335329999999999,0.7735329999999998,1.073533,1.333533,1.3383250000000009
0.2979999999999998,0.43373199999999995,0.7737319999999998,1.073732,1.3337320000000001,1.343300000000001
0.2969999999999998,0.43393033333333325,0.773930333333333,1.0739303333333334,1.3339303333333334,1.3482583333333342
0.2959999999999998,0.4341279999999999,0.7741279999999998,1.074128,1.334128,1.353200000000001
0.2949999999999998,0.4343249999999999,0.7743249999999998,1.074325,1.334325,1.358125000000001
0.2939999999999998,0.43452133333333326,0.7745213333333331,1.0745213333333334,1.3345213333333334,1.3630333333333342
0.2929999999999998,0.4347169999999999,0.7747169999999998,1.074717,1.3347170000000002,1.367925000000001
0.2919999999999998,0.4349119999999999,0.7749119999999998,1.074912,1.3349119999999999,1.372800000000001
0.2909999999999998,0.4351063333333332,0.7751063333333331,1.0751063333333335,1.3351063333333333,1.3776583333333343
0.2899999999999998,0.4352999999999999,0.7752999999999998,1.0753,1.3353,1.382500000000001
0.2889999999999998,0.43549299999999996,0.7754929999999998,1.0754929999999998,1.335493,1.387325000000001
0.2879999999999998,0.4356853333333332,0.7756853333333331,1.0756853333333334,1.3356853333333334,1.392133333333334
0.2869999999999998,0.4358769999999999,0.7758769999999998,1.075877,1.335877,1.396925000000001
0.2859999999999998,0.4360679999999999,0.7760679999999999,1.076068,1.336068,1.401700000000001
0.2849999999999998,0.43625833333333325,0.7762583333333332,1.0762583333333333,1.3362583333333333,1.4064583333333345
0.2839999999999998,0.4364479999999999,0.7764479999999998,1.076448,1.336448,1.411200000000001
0.2829999999999998,0.43663699999999994,0.7766369999999998,1.0766369999999998,1.336637,1.4159250000000008
0.2819999999999998,0.43682533333333323,0.7768253333333331,1.0768253333333333,1.3368253333333333,1.4206333333333345
0.2809999999999998,0.4370129999999999,0.7770129999999998,1.077013,1.337013,1.425325000000001
0.2799999999999998,0.4371999999999999,0.7771999999999999,1.0772000000000002,1.3372,1.430000000000001
0.2789999999999998,0.43738633333333327,0.7773863333333331,1.0773863333333333,1.3373863333333333,1.4346583333333345
0.2779999999999998,0.4375719999999999,0.7775719999999998,1.077572,1.3375720000000002,1.439300000000001
0.2769999999999998,0.4377569999999999,0.7777569999999998,1.0777569999999999,1.337757,1.443925000000001
0.2759999999999998,0.43794133333333324,0.7779413333333332,1.0779413333333332,1.3379413333333334,1.4485333333333341
0.2749999999999998,0.4381249999999999,0.7781249999999997,1.078125,1.3381250000000002,1.453125000000001
0.2739999999999998,0.4383079999999999,0.7783079999999998,1.078308,1.338308,1.457700000000001
0.2729999999999998,0.43849033333333326,0.7784903333333331,1.0784903333333336,1.3384903333333333,1.4622583333333343
0.2719999999999998,0.4386719999999999,0.7786719999999998,1.078672,1.3386719999999999,1.466800000000001
0.2709999999999998,0.43885299999999994,0.7788529999999998,1.0788529999999998,1.338853,1.4713250000000009
0.2699999999999998,0.4390333333333332,0.7790333333333331,1.0790333333333333,1.3390333333333333,1.4758333333333342
0.2689999999999998,0.4392129999999999,0.7792129999999998,1.079213,1.339213,1.480325000000001
0.2679999999999998,0.4393919999999999,0.7793919999999998,1.079392,1.3393920000000001,1.484800000000001
0.2669999999999998,0.43957033333333323,0.779570333333333,1.0795703333333333,1.3395703333333335,1.4892583333333345
0.2659999999999998,0.4397479999999999,0.7797479999999998,1.079748,1.339748,1.4937000000000011
0.2649999999999998,0.4399249999999999,0.7799249999999999,1.079925,1.339925,1.4981250000000013
0.2639999999999998,0.44010133333333323,0.7801013333333331,1.0801013333333334,1.3401013333333334,1.5025333333333346
0.2629999999999998,0.4402769999999999,0.7802769999999998,1.080277,1.3402770000000002,1.5069250000000012
0.2619999999999998,0.4404519999999999,0.7804519999999998,1.0804520000000002,1.340452,1.5113000000000012
0.2609999999999998,0.4406263333333333,0.7806263333333331,1.0806263333333335,1.3406263333333333,1.5156583333333344
0.2599999999999998,0.4407999999999999,0.7807999999999998,1.0808,1.3408000000000002,1.5200000000000011
0.2589999999999998,0.4409729999999999,0.7809729999999998,1.080973,1.340973,1.524325000000001
0.2579999999999998,0.4411453333333332,0.7811453333333331,1.0811453333333332,1.3411453333333334,1.5286333333333342
0.2569999999999998,0.4413169999999999,0.7813169999999998,1.0813169999999999,1.341317,1.532925000000001
0.2559999999999998,0.4414879999999999,0.7814879999999997,1.081488,1.341488,1.5372000000000012
0.2549999999999998,0.4416583333333332,0.7816583333333331,1.0816583333333334,1.3416583333333332,1.5414583333333343
0.2539999999999998,0.44182799999999994,0.7818279999999997,1.0818280000000002,1.341828,1.545700000000001
0.2529999999999998,0.4419969999999999,0.7819969999999998,1.081997,1.3419969999999999,1.549925000000001
0.2519999999999998,0.4421653333333333,0.7821653333333332,1.0821653333333332,1.3421653333333334,1.5541333333333343
0.2509999999999998,0.4423329999999999,0.7823329999999998,1.082333,1.342333,1.558325000000001
0.24999999999999978,0.44249999999999995,0.7824999999999998,1.0825,1.3425,1.5625
0.24899999999999978,0.4426663333333333,0.7826663333333331,1.0826663333333333,1.3426663333333333,1.5626663333333333
0.24799999999999978,0.44283199999999995,0.7828319999999998,1.082832,1.342832,1.562832
0.24699999999999978,0.4429969999999999,0.7829969999999998,1.082997,1.342997,1.562997
0.24599999999999977,0.44316133333333324,0.783161333333333,1.0831613333333334,1.3431613333333334,1.5631613333333334
0.24499999999999977,0.4433249999999999,0.7833249999999998,1.0833249999999999,1.343325,1.563325
0.24399999999999977,0.4434879999999999,0.7834879999999999,1.083488,1.343488,1.563488
0.24299999999999977,0.44365033333333326,0.7836503333333331,1.0836503333333334,1.3436503333333334,1.5636503333333334
0.24199999999999977,0.4438119999999999,0.7838119999999997,1.083812,1.343812,1.563812
0.24099999999999977,0.4439729999999999,0.7839729999999998,1.083973,1.3439729999999999,1.563973
0.23999999999999977,0.44413333333333327,0.7841333333333331,1.0841333333333334,1.3441333333333332,1.5641333333333334
0.23899999999999977,0.44429299999999994,0.7842929999999998,1.084293,1.344293,1.564293
0.23799999999999977,0.44445199999999996,0.7844519999999998,1.084452,1.344452,1.564452
0.23699999999999977,0.4446103333333333,0.7846103333333332,1.0846103333333335,1.3446103333333332,1.5646103333333334
0.23599999999999977,0.44476799999999994,0.7847679999999998,1.084768,1.344768,1.5647680000000002
0.23499999999999976,0.4449249999999999,0.7849249999999998,1.084925,1.344925,1.564925
0.23399999999999976,0.4450813333333333,0.7850813333333331,1.0850813333333336,1.3450813333333334,1.5650813333333333
0.23299999999999976,0.4452369999999999,0.7852369999999999,1.085237,1.345237,1.565237
0.23199999999999976,0.4453919999999999,0.7853919999999998,1.085392,1.3453920000000001,1.565392
